receiptId,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
5ff1e1eb0a720f0523000575,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,500.0,2021-01-03 00:00:55.296,5.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,150.0,2021-01-02 15:25:22.304,2.0,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5.0,All-receipts receipt bonus,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,,2021-01-03 15:24:58.752,,5.0,2021-01-03 00:00:55.296,1.0,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5.0,All-receipts receipt bonus,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,5.0,2021-01-03 00:00:55.296,4.0,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,5.0,2021-01-02 15:25:22.304,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,750.0,2021-01-02 15:25:22.304,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5.0,All-receipts receipt bonus,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,5.0,2021-01-03 15:24:58.752,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,500.0,2020-12-26 23:59:18.016,1.0,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,5.0,All-receipts receipt bonus,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,5.0,2021-01-03 00:00:55.296,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,2021-01-03 15:24:58.752,250.0,2021-01-03 00:00:55.296,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
